id_disease	id_phenotype
107600	7
107600	4471
107640	6
107640	1699
107640	10535
107650	6
107650	458
107650	1262
107650	2384
107650	2870
107680	6
107680	83
107680	1271
107680	1635
107680	1917
107680	4398
107680	1677
107680	7759
107680	12280
107690	6
107700	2250
107741	991
107741	1513
107741	1681
107741	1952
107741	2155
107741	2511
107741	3124
107741	4950
107850	10982
107900	6
107900	2974
107900	2984
107900	3022
107970	6
107970	1425
107970	1645
107970	4308
107970	11663
108000	6
108000	1626
108010	6
108010	2408
108050	6
108050	822
108050	952
108050	1085
108050	1101
108050	1250
108050	1370
108050	1482
108050	1698
108050	1945
108050	2202
108050	2315
108050	3155
108050	6679
108100	6
108100	12317
108110	28
108110	46
108110	66
108110	311
108110	324
108110	347
108110	463
108110	473
108110	1059
108110	1182
108110	1220
108110	1543
108110	1558
108110	1623
108110	2650
108110	2804
108110	2827
108110	3196
108110	3196
108110	3745
108110	4664
108110	5235
108110	6070
108110	6443
108110	6659
108110	9007
108110	9381
108110	9775
108110	200021
108120	6
108120	28
